state,year,price_change_pct,cpi_change_pct,price_to_cpi_ratio
GA,2015,-12.737668229668294,0.26921795077828153,-47.31359180487408
GA,2016,15.938700040282782,1.1013189302772681,14.47237453393274
GA,2017,9.545412052117513,1.184135678199309,8.061079678498519
GA,2018,-7.955565020134819,1.9300891511770855,-4.1218640161170965
NC,2015,2.69159179171359,-0.6598704780587802,-4.078969860315265
NC,2016,-7.779193403450766,1.3996319177915557,-5.558028010482471
NC,2017,4.043236868145557,2.5911188005549075,1.5604212617652526
NC,2018,3.7548593900751395,2.9498533694443627,1.272896961241978
NM,2015,-1.8541075266604379,0.841920605817603,-2.2022355954334714
NM,2016,1.230656524884414,1.96531634233051,0.6261874988659981
NM,2017,3.26793006821902,2.7820959698934438,1.1746288063327248
NM,2018,8.6891047489207,3.7259597427282256,2.332044721062487
NY,2015,10.756760749083009,0.23252843423839284,46.25998013668711
NY,2016,-5.481137398748129,0.9485641145256315,-5.778352053186407
NY,2017,0.7299841421892701,1.9982272320237373,0.3653158812423784
NY,2018,7.953146224544551,1.956728112043173,4.064512680936571
