region,year,month,cpi
West,2011,8,228.222
West,2011,9,229.147
West,2011,10,229.195
West,2011,11,228.771
West,2011,12,228.117
West,2012,1,228.980
West,2012,2,229.995
West,2012,3,232.039
West,2012,4,232.561
West,2012,5,233.053
West,2012,6,232.701
West,2012,7,231.893
West,2012,8,233.001
West,2012,9,234.083
West,2012,10,234.966
West,2012,11,233.206
West,2012,12,232.029
West,2013,1,232.759
West,2013,2,234.595
West,2013,3,235.511
West,2013,4,235.488
West,2013,5,235.979
West,2013,6,236.227
West,2013,7,236.341
West,2013,8,236.591
West,2013,9,237.146
West,2013,10,237.000
West,2013,11,236.153
West,2013,12,236.096
West,2014,1,236.707
West,2014,2,237.614
West,2014,3,239.092
West,2014,4,239.808
West,2014,5,241.350
West,2014,6,241.616
West,2014,7,241.850
West,2014,8,241.660
West,2014,9,241.920
West,2014,10,241.650
West,2014,11,240.220
West,2014,12,239.095
West,2015,1,238.318
West,2015,2,239.748
West,2015,3,241.690
West,2015,4,242.302
West,2015,5,244.227
West,2015,6,244.332
West,2015,7,245.040
West,2015,8,244.737
West,2015,9,244.257
West,2015,10,244.341
West,2015,11,243.749
West,2015,12,243.434
